codigo_oem,titulo,descripcion_larga,caracteristicas,categoria,subcategoría,marca,modelo,anio,precio,stock,imagen_url,imagen_url_2,imagen_url_3,etiquetas
A9,"Airbag Volante Chevrolet Tahoe 2021-2024, Silverado 2019-2024, Cheyenne 2019-2020 - Original | Envío Gratis","Airbag volante original Chevrolet Tahoe 2021-2024, Silverado 2019-2024 y Cheyenne 2019-2020. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Chevrolet\n• Tahoe 2021-2024, Silverado 2019-2024, Cheyenne 2019-2020\n• Código OEM: 77900-TZ3-A09\n• Color: negro\n• Garantía: 6 meses\n• 2 piezas (2P)","Airbags","Volante","Chevrolet","Tahoe, Silverado, Cheyenne","2019-2024",5311,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, chevrolet, tahoe, silverado, cheyenne, 2019-2024, original, restaurado, envio gratis"
A10,"Airbag Volante Ford Mustang 2005-2013 - Original | Envío Gratis","Airbag volante original Ford Mustang 2005-2013. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Ford\n• Mustang 2005-2013\n• Código OEM: 77900-TZ3-A10\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Ford","Mustang","2005-2013",2124,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, ford, mustang, 2005-2013, original, restaurado, envio gratis"
A11,"Airbag Volante Ford Flex 2009-2011 - Original | Envío Gratis","Airbag volante original Ford Flex 2009-2011. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Ford\n• Flex 2009-2011\n• Código OEM: 77900-TZ3-A11\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Ford","Flex","2009-2011",1488,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, ford, flex, 2009-2011, original, restaurado, envio gratis"
A12,"Airbag Volante Ford F250 y Ford F350 2017-2022 - Original | Envío Gratis","Airbag volante original Ford F250 y Ford F350 2017-2022. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Ford\n• F250 y F350 2017-2022\n• Código OEM: 77900-TZ3-A12\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Ford","F250, F350","2017-2022",1488,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, ford, f250, f350, 2017-2022, original, restaurado, envio gratis"
A13,"Airbag Volante Ford Explorer 2020-2022 - Original | Envío Gratis","Airbag volante original Ford Explorer 2020-2022. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Ford\n• Explorer 2020-2022\n• Código OEM: 77900-TZ3-A13\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Ford","Explorer","2020-2022",5311,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, ford, explorer, 2020-2022, original, restaurado, envio gratis"
A14,"Airbag Volante Ford Bronco 2021-2024 - Original | Envío Gratis","Airbag volante original Ford Bronco 2021-2024. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Ford\n• Bronco 2021-2024\n• Código OEM: 77900-TZ3-A14\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Ford","Bronco","2021-2024",5311,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, ford, bronco, 2021-2024, original, restaurado, envio gratis"
A15,"Airbag Volante Honda Pilot 2018-2020 - Original | Envío Gratis","Airbag volante original Honda Pilot 2018-2020. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Pilot 2018-2020\n• Código OEM: 77900-TZ3-A15\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","Pilot","2018-2020",5311,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, honda, pilot, 2018-2020, original, restaurado, envio gratis"
A16,"Airbag Volante Honda Civic 2012-2015 - Original | Envío Gratis","Airbag volante original Honda Civic 2012-2015. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Civic 2012-2015\n• Código OEM: 77900-TZ3-A16\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","Civic","2012-2015",4248,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, honda, civic, 2012-2015, original, restaurado, envio gratis"
A17,"Airbag Volante Honda CR-V 2018-2022 - Original | Envío Gratis","Airbag volante original Honda CR-V 2018-2022. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• CR-V 2018-2022\n• Código OEM: 77900-TZ3-A17\n• Color: negro\n• Garantía: 6 meses\n• 2 piezas (2P)","Airbags","Volante","Honda","CR-V","2018-2022",6372,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, honda, cr-v, 2018-2022, original, restaurado, envio gratis"
A18,"Airbag Volante Honda Pilot 2016-2017 - Original | Envío Gratis","Airbag volante original Honda Pilot 2016-2017. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Pilot 2016-2017\n• Código OEM: 77900-TZ3-A18\n• Color: negro\n• Garantía: 6 meses\n• 2 piezas (2P)","Airbags","Volante","Honda","Pilot","2016-2017",5311,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, honda, pilot, 2016-2017, original, restaurado, envio gratis"
A19,"Airbag Volante Honda BRV 2018-2021 - Original | Envío Gratis","Airbag volante original Honda BRV 2018-2021. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• BRV 2018-2021\n• Código OEM: 77900-TZ3-A19\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","BRV","2018-2021",2320,1,"https://i.imgur.com/TU-IMAGEN.jpg","https://i.imgur.com/TU-IMAGEN2.jpg","https://i.imgur.com/TU-IMAGEN3.jpg","airbag, volante, honda, brv, 2018-2021, original, restaurado, envio gratis"