codigo_oem,titulo,descripcion_larga,caracteristicas,categoria,subcategoria,marca,modelo,anio,precio,stock,imagen_url,etiquetas
VOL-CIV-18,"Airbag Volante Honda Civic 2018 - Original | Envío Gratis","Airbag volante original Honda Civic 2018. Restaurado con garantía. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Honda\n• Año 2018\n• Código OEM: 77900-TBA-A01\n• Color: negro\n• Garantía: 6 meses","Airbags","Volante","Honda","Civic","2018",3500,5,"https://i.imgur.com/volante-civic.jpg","airbag, volante, civic, 2018, original, honda, restaurado, envio gratis"
AIR-COP-20,"Airbag Copiloto Toyota RAV4 2020 - Original | Envío Gratis","Airbag copiloto original Toyota RAV4 2020. Ideal para reemplazo tras choque. Envío gratis a todo México.","• Original Toyota\n• Año 2020\n• Código OEM: 77900-TBA-A02\n• Color: negro\n• Garantía: 6 meses","Airbags","Copiloto","Toyota","RAV4","2020",2800,3,"https://i.imgur.com/airbag-copiloto.jpg","airbag, copiloto, toyota, rav4, 2020, original, envio gratis"
MOD-SRS-19,"Módulo SRS Nissan Sentra 2019 - Restaurado | Envío Gratis","Módulo SRS restaurado para Nissan Sentra 2019. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2019\n• Código OEM: 28556-9W700\n• Garantía: 6 meses","Airbags","Modulo","Nissan","Sentra","2019",3200,7,"https://i.imgur.com/modulo-srs.jpg","modulo, srs, nissan, sentra, 2019, restaurado, envio gratis"
SEN-IMP-21,"Sensor Impacto Mazda 3 2021 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Mazda 3 2021. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2021\n• Código OEM: B25D-67-7J0\n• Garantía: 12 meses","Airbags","Sensor","Mazda","3","2021",1500,10,"https://i.imgur.com/sensor-impacto.jpg","sensor, impacto, mazda, 3, 2021, nuevo, envio gratis"
VOL-CIV-22,"Airbag Volante Audi A3 2022 - Original | Envío Gratis","Airbag volante original Audi A3 2022. Ideal para reemplazo. Envío gratis a todo México.","• Original Audi\n• Año 2022\n• Código OEM: 8W0-880-201-B\n• Garantía: 12 meses","Airbags","Volante","Audi","A3","2022",4200,4,"https://i.imgur.com/audi-a3-volante.jpg","airbag, volante, audi, a3, 2022, original, envio gratis"
AIR-COP-22,"Airbag Copiloto BMW X3 2021 - Original | Envío Gratis","Airbag copiloto original BMW X3 2021. Ideal para reemplazo. Envío gratis a todo México.","• Original BMW\n• Año 2021\n• Código OEM: 65-77-6-984-101\n• Garantía: 12 meses","Airbags","Copiloto","BMW","X3","2021",3800,2,"https://i.imgur.com/bmw-x3-copiloto.jpg","airbag, copiloto, bmw, x3, 2021, original, envio gratis"
MOD-SRS-20,"Módulo SRS Audi Q5 2020 - Restaurado | Envío Gratis","Módulo SRS restaurado para Audi Q5 2020. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2020\n• Código OEM: 8R0-959-655-A\n• Garantía: 6 meses","Airbags","Modulo","Audi","Q5","2020",3600,7,"https://i.imgur.com/audi-q5-modulo.jpg","modulo, srs, audi, q5, 2020, restaurado, envio gratis"
SEN-IMP-20,"Sensor Impacto Land Rover Evoque 2019 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Land Rover Evoque 2019. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2019\n• Código OEM: LR045-678-901\n• Garantía: 12 meses","Airbags","Sensor","Land Rover","Evoque","2019",1600,9,"https://i.imgur.com/evoque-sensor.jpg","sensor, impacto, land rover, evoque, 2019, nuevo, envio gratis"
VOL-CIV-19,"Airbag Volante Hyundai Elantra 2018 - Original | Envío Gratis","Airbag volante original Hyundai Elantra 2018. Ideal para reemplazo. Envío gratis a todo México.","• Original Hyundai\n• Año 2018\n• Código OEM: 95910-F2000\n• Garantía: 6 meses","Airbags","Volante","Hyundai","Elantra","2018",3100,5,"https://i.imgur.com/hyundai-elantra-volante.jpg","airbag, volante, hyundai, elantra, 2018, original, envio gratis"
AIR-COP-19,"Airbag Copiloto Kia Rio 2017 - Original | Envío Gratis","Airbag copiloto original Kia Rio 2017. Ideal para reemplazo. Envío gratis a todo México.","• Original Kia\n• Año 2017\n• Código OEM: 95911-D022\n• Garantía: 6 meses","Airbags","Copiloto","Kia","Rio","2017",2500,3,"https://i.imgur.com/kia-rio-copiloto.jpg","airbag, copiloto, kia, rio, 2017, original, envio gratis"
MOD-SRS-18,"Módulo SRS Mitsubishi Lancer 2016 - Restaurado | Envío Gratis","Módulo SRS restaurado para Mitsubishi Lancer 2016. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2016\n• Código OEM: 8635A-030\n• Garantía: 6 meses","Airbags","Modulo","Mitsubishi","Lancer","2016",2700,7,"https://i.imgur.com/mitsubishi-lancer-modulo.jpg","modulo, srs, mitsubishi, lancer, 2016, restaurado, envio gratis"
SEN-IMP-18,"Sensor Impacto Volkswagen Jetta 2015 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Volkswagen Jetta 2015. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2015\n• Código OEM: 5Q0-959-655-A\n• Garantía: 12 meses","Airbags","Sensor","Volkswagen","Jetta","2015",1300,9,"https://i.imgur.com/volkswagen-jetta-sensor.jpg","sensor, impacto, volkswagen, jetta, 2015, nuevo, envio gratis"
VOL-CIV-17,"Airbag Volante Subaru Impreza 2014 - Original | Envío Gratis","Airbag volante original Subaru Impreza 2014. Ideal para reemplazo. Envío gratis a todo México.","• Original Subaru\n• Año 2014\n• Código OEM: 95910-FG100\n• Garantía: 6 meses","Airbags","Volante","Subaru","Impreza","2014",3300,4,"https://i.imgur.com/subaru-impreza-volante.jpg","airbag, volante, subaru, impreza, 2014, original, envio gratis"
AIR-COP-17,"Airbag Copiloto Suzuki Swift 2013 - Original | Envío Gratis","Airbag copiloto original Suzuki Swift 2013. Ideal para reemplazo. Envío gratis a todo México.","• Original Suzuki\n• Año 2013\n• Código OEM: 95911-FG100\n• Garantía: 6 meses","Airbags","Copiloto","Suzuki","Swift","2013",2200,3,"https://i.imgur.com/suzuki-swift-copiloto.jpg","airbag, copiloto, suzuki, swift, 2013, original, envio gratis"
MOD-SRS-17,"Módulo SRS Renault Clio 2012 - Restaurado | Envío Gratis","Módulo SRS restaurado para Renault Clio 2012. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2012\n• Código OEM: 28556-9W700\n• Garantía: 6 meses","Airbags","Modulo","Renault","Clio","2012",2600,7,"https://i.imgur.com/renault-clio-modulo.jpg","modulo, srs, renault, clio, 2012, restaurado, envio gratis"
SEN-IMP-17,"Sensor Impacto Peugeot 208 2011 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Peugeot 208 2011. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2011\n• Código OEM: 6554-9W700\n• Garantía: 12 meses","Airbags","Sensor","Peugeot","208","2011",1200,8,"https://i.imgur.com/peugeot-208-sensor.jpg","sensor, impacto, peugeot, 208, 2011, nuevo, envio gratis"
VOL-CIV-16,"Airbag Volante Citroen C4 2010 - Original | Envío Gratis","Airbag volante original Citroen C4 2010. Ideal para reemplazo. Envío gratis a todo México.","• Original Citroen\n• Año 2010\n• Código OEM: 95910-FH100\n• Garantía: 6 meses","Airbags","Volante","Citroen","C4","2010",3000,5,"https://i.imgur.com/citroen-c4-volante.jpg","airbag, volante, citroen, c4, 2010, original, envio gratis"
AIR-COP-16,"Airbag Copiloto Seat Ibiza 2009 - Original | Envío Gratis","Airbag copiloto original Seat Ibiza 2009. Ideal para reemplazo. Envío gratis a todo México.","• Original Seat\n• Año 2009\n• Código OEM: 95911-FH100\n• Garantía: 6 meses","Airbags","Copiloto","Seat","Ibiza","2009",2300,3,"https://i.imgur.com/seat-ibiza-copiloto.jpg","airbag, copiloto, seat, ibiza, 2009, original, envio gratis"
MOD-SRS-16,"Módulo SRS Skoda Fabia 2008 - Restaurado | Envío Gratis","Módulo SRS restaurado para Skoda Fabia 2008. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2008\n• Código OEM: 6Q0-959-655-A\n• Garantía: 6 meses","Airbags","Modulo","Skoda","Fabia","2008",2500,7,"https://i.imgur.com/skoda-fabia-modulo.jpg","modulo, srs, skoda, fabia, 2008, restaurado, envio gratis"
SEN-IMP-16,"Sensor Impacto Opel Corsa 2007 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Opel Corsa 2007. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2007\n• Código OEM: 551-959-655\n• Garantía: 12 meses","Airbags","Sensor","Opel","Corsa","2007",1100,9,"https://i.imgur.com/opel-corsa-sensor.jpg","sensor, impacto, opel, corsa, 2007, nuevo, envio gratis"
VOL-CIV-15,"Airbag Volante Saab 9-3 2006 - Original | Envío Gratis","Airbag volante original Saab 9-3 2006. Ideal para reemplazo. Envío gratis a todo México.","• Original Saab\n• Año 2006\n• Código OEM: 127-880-201\n• Garantía: 6 meses","Airbags","Volante","Saab","9-3","2006",2700,5,"https://i.imgur.com/saab-9-3-volante.jpg","airbag, volante, saab, 9-3, 2006, original, envio gratis"
AIR-COP-15,"Airbag Copiloto Jaguar X-Type 2005 - Original | Envío Gratis","Airbag copiloto original Jaguar X-Type 2005. Ideal para reemplazo. Envío gratis a todo México.","• Original Jaguar\n• Año 2005\n• Código OEM: 127-880-202\n• Garantía: 6 meses","Airbags","Copiloto","Jaguar","X-Type","2005",3000,3,"https://i.imgur.com/jaguar-x-type-copiloto.jpg","airbag, copiloto, jaguar, x-type, 2005, original, envio gratis"
MOD-SRS-15,"Módulo SRS Mini Cooper 2004 - Restaurado | Envío Gratis","Módulo SRS restaurado para Mini Cooper 2004. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2004\n• Código OEM: 65-77-6-984-101\n• Garantía: 6 meses","Airbags","Modulo","Mini","Cooper","2004",2600,7,"https://i.imgur.com/mini-cooper-modulo.jpg","modulo, srs, mini, cooper, 2004, restaurado, envio gratis"
SEN-IMP-15,"Sensor Impacto Mini Cooper 2003 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Mini Cooper 2003. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2003\n• Código OEM: 65-77-6-984-102\n• Garantía: 12 meses","Airbags","Sensor","Mini","Cooper","2003",1200,9,"https://i.imgur.com/mini-cooper-sensor.jpg","sensor, impacto, mini, cooper, 2003, nuevo, envio gratis"
VOL-CIV-14,"Airbag Volante Pontiac G5 2008 - Original | Envío Gratis","Airbag volante original Pontiac G5 2008. Ideal para reemplazo. Envío gratis a todo México.","• Original Pontiac\n• Año 2008\n• Código OEM: 95910-FE100\n• Garantía: 6 meses","Airbags","Volante","Pontiac","G5","2008",2500,5,"https://i.imgur.com/pontiac-g5-volante.jpg","airbag, volante, pontiac, g5, 2008, original, envio gratis"
AIR-COP-14,"Airbag Copiloto Saturn Ion 2007 - Original | Envío Gratis","Airbag copiloto original Saturn Ion 2007. Ideal para reemplazo. Envío gratis a todo México.","• Original Saturn\n• Año 2007\n• Código OEM: 95911-FE100\n• Garantía: 6 meses","Airbags","Copiloto","Saturn","Ion","2007",1200,8,"https://i.imgur.com/saturn-ion-copiloto.jpg","airbag, copiloto, saturn, ion, 2007, original, envio gratis"
MOD-SRS-14,"Módulo SRS Saab 9-3 2006 - Restaurado | Envío Gratis","Módulo SRS restaurado para Saab 9-3 2006. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2006\n• Código OEM: 127-959-655\n• Garantía: 6 meses","Airbags","Modulo","Saab","9-3","2006",2700,7,"https://i.imgur.com/saab-9-3-modulo.jpg","modulo, srs, saab, 9-3, 2006, restaurado, envio gratis"
SEN-IMP-14,"Sensor Impacto Jaguar X-Type 2005 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Jaguar X-Type 2005. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2005\n• Código OEM: C2C-959-655\n• Garantía: 12 meses","Airbags","Sensor","Jaguar","X-Type","2005",1500,9,"https://i.imgur.com/jaguar-x-type-sensor.jpg","sensor, impacto, jaguar, x-type, 2005, nuevo, envio gratis"
VOL-CIV-13,"Airbag Volante Mini Cooper 2004 - Original | Envío Gratis","Airbag volante original Mini Cooper 2004. Ideal para reemplazo. Envío gratis a todo México.","• Original Mini\n• Año 2004\n• Código OEM: 65-77-6-984-101\n• Garantía: 6 meses","Airbags","Volante","Mini","Cooper","2004",2600,5,"https://i.imgur.com/mini-cooper-volante.jpg","airbag, volante, mini, cooper, 2004, original, envio gratis"
AIR-COP-13,"Airbag Copiloto Mini Cooper 2003 - Original | Envío Gratis","Airbag copiloto original Mini Cooper 2003. Ideal para reemplazo. Envío gratis a todo México.","• Original Mini\n• Año 2003\n• Código OEM: 65-77-6-984-102\n• Garantía: 6 meses","Airbags","Copiloto","Mini","Cooper","2003",1200,3,"https://i.imgur.com/mini-cooper-copiloto.jpg","airbag, copiloto, mini, cooper, 2003, original, envio gratis"
MOD-SRS-13,"Módulo SRS Pontiac G5 2008 - Restaurado | Envío Gratis","Módulo SRS restaurado para Pontiac G5 2008. Reprogramado y testeado. Envío gratis a todo México.","• Restaurado\n• Año 2008\n• Código OEM: 95910-FE100\n• Garantía: 6 meses","Airbags","Modulo","Pontiac","G5","2008",2500,7,"https://i.imgur.com/pontiac-g5-modulo.jpg","modulo, srs, pontiac, g5, 2008, restaurado, envio gratis"
SEN-IMP-13,"Sensor Impacto Pontiac G5 2007 - Nuevo | Envío Gratis","Sensor de impacto nuevo para Pontiac G5 2007. Ideal para reemplazo. Envío gratis a todo México.","• Nuevo\n• Año 2007\n• Código OEM: 95910-FE100\n• Garantía: 12 meses","Airbags","Sensor","Pontiac","G5","2007",1100,9,"https://i.imgur.com/pontiac-g5-sensor.jpg","sensor, impacto, pontiac, g5, 2007, nuevo, envio gratis"