codigo_oem,nombre,marca,modelo,anio,precio,stock,imagen_url,descripcion
VOL-CIV-18,Airbag Volante,Honda,Civic,2018,3500,5,https://i.imgur.com/ejemplo1.jpg,Original Honda
AIR-COP-20,Airbag Copiloto,Toyota,RAV4,2020,2800,3,https://i.imgur.com/ejemplo2.jpg,Original Toyota
MOD-SRS-19,Módulo SRS,Nissan,Sentra,2019,3200,7,https://i.imgur.com/ejemplo3.jpg,Módulo restaurado
SEN-IMP-21,Sensor Impacto,Mazda,3,2021,1500,10,https://i.imgur.com/ejemplo4.jpg,Sensor nuevo
AAA-001-22,Airbag Volante,Audi,A3,2022,4200,4,https://i.imgur.com/ejemplo5.jpg,Original Audi
BBB-002-21,Airbag Copiloto,BMW,X3,2021,3800,2,https://i.imgur.com/ejemplo6.jpg,Original BMW
CCC-003-20,Módulo SRS,Chevrolet,Cruze,2020,2900,6,https://i.imgur.com/ejemplo7.jpg,Módulo reprogramado
DDD-004-19,Sensor Impacto,Ford,Focus,2019,1400,8,https://i.imgur.com/ejemplo8.jpg,Sensor nuevo
EEE-005-18,Airbag Volante,Hyundai,Elantra,2018,3100,5,https://i.imgur.com/ejemplo9.jpg,Original Hyundai
FFF-006-17,Airbag Copiloto,Kia,Rio,2017,2500,3,https://i.imgur.com/ejemplo10.jpg,Original Kia
GGG-007-16,Módulo SRS,Mitsubishi,Lancer,2016,2700,7,https://i.imgur.com/ejemplo11.jpg,Módulo restaurado
HHH-008-15,Sensor Impacto,Volkswagen,Jetta,2015,1300,9,https://i.imgur.com/ejemplo12.jpg,Sensor nuevo
III-009-14,Airbag Volante,Subaru,Impreza,2014,3300,4,https://i.imgur.com/ejemplo13.jpg,Original Subaru
JJJ-010-13,Airbag Copiloto,Suzuki,Swift,2013,2200,2,https://i.imgur.com/ejemplo14.jpg,Original Suzuki
KKK-011-12,Módulo SRS,Renault,Clio,2012,2600,6,https://i.imgur.com/ejemplo15.jpg,Módulo reprogramado
LLL-012-11,Sensor Impacto,Peugeot,208,2011,1200,8,https://i.imgur.com/ejemplo16.jpg,Sensor nuevo
MMM-013-10,Airbag Volante,Citroen,C4,2010,3000,5,https://i.imgur.com/ejemplo17.jpg,Original Citroen
NNN-014-09,Airbag Copiloto,Seat,Ibiza,2009,2300,3,https://i.imgur.com/ejemplo18.jpg,Original Seat
OOO-015-08,Módulo SRS,Skoda,Fabia,2008,2500,7,https://i.imgur.com/ejemplo19.jpg,Módulo restaurado
PPP-016-07,Sensor Impacto,Opel,Corsa,2007,1100,9,https://i.imgur.com/ejemplo20.jpg,Sensor nuevo